id,product,quantity,price,date,address,sex,age,age_group
160199,Craft Scissors (8 Pack),1,36,04/25/20 15:30,"233 Bell Dr, Chicago, IL 60007",F,39,2
160199,Wireless Phone Charger,1,42.42,04/25/20 15:30,"233 Bell Dr, Chicago, IL 60007",F,39,2
160200,AA Batteries (12 Pack),1,11.95,04/27/20 10:52,"976 North Dr, Minneapolis, MN 55111",F,55,3
160201,Shooter Video Game,1,59.99,04/02/20 04:13,"17 11th St, Minneapolis, MN 55111",F,23,1
160202,AA Batteries (12 Pack),1,11.95,04/08/20 17:37,"701 South St, Minneapolis, MN 55111",F,47,3
160203,Wireless Phone Charger,2,42.42,04/29/20 08:33,"223 6th Blvd, Minneapolis, MN 55111",M,30,2
160204,Bike Helmet,1,27.95,04/30/20 18:54,"238 Virginia Ave, Omaha, NE 68007",F,85,4
160205,AA Batteries (12 Pack),1,11.95,04/08/20 21:50,"637 Chestnut Rd, New York City, NY 10001",M,29,2
160206,Knee High Boots,1,129.2,04/20/20 16:46,"224 Ridge Ave, New York City, NY 10001",F,44,3
160207,Snazzy Hair Clips (3 Pack),1,5.3,04/25/20 14:17,"374 North St, Las Vegas, NV 88901",F,21,1
160208,Bungee Cords (10 Pack),2,11.45,04/24/20 19:14,"670 Sunset Rd, New York City, NY 10001",M,20,1
160209,Cherry & Oliver Pitter,1,15.49,04/06/20 18:54,"770 Main St, Las Vegas, NV 88901",M,29,2
160210,Velcro Shoes,1,43.16,04/11/20 15:10,"541 2nd St, Las Vegas, NV 88901",M,60,3
160211,Knee High Boots,1,129.2,04/18/20 00:29,"271 5th St, Chicago, IL 60007",F,21,1
160212,Snazzy Hair Clips (3 Pack),1,5.3,04/21/20 11:33,"268 Redwood St, Miami, FL 33133",M,40,2
160213,Sun Hat,1,24.96,04/19/20 11:51,"763 Redwood St, Minneapolis, MN 55111",M,29,2
160214,Craft Scissors (8 Pack),1,36,04/08/20 12:16,"807 Bell Ave, New York City, NY 10001",M,80,4
160215,Earthworm Fishing Lure (32 Pack),2,7.28,04/05/20 14:38,"866 Cypress St, New York City, NY 10001",M,58,3
160216,AA Batteries (12 Pack),2,11.95,04/23/20 23:27,"334 13th Ave, Sacramento, CA 94203",M,66,4
160217,AA Batteries (12 Pack),1,11.95,04/12/20 09:13,"15 Chestnut Way, Denver, CO 80259",M,85,4
160218,Craft Scissors (8 Pack),1,36,04/22/20 22:16,"285 North Ave, New York City, NY 10001",M,21,1
160219,Milky Mama Nursing Cover,1,20,04/29/20 16:36,"495 13th Ave, Miami, FL 33133",F,33,2
160220,Hair Curler,1,93.31,04/20/20 13:34,"957 Main Blvd, Sacramento, CA 94203",F,26,2
160221,Sun Hat,1,24.96,04/26/20 18:58,"728 13th Rd, Denver, CO 80259",F,49,3
160222,Hair Curler,1,93.31,04/04/20 19:30,"868 2nd Blvd, Sacramento, CA 94203",F,18,1
