id,product,quantity,price,date,address,sex,age,age_group
209215,Mechanical Scale,1,38.88,08/08/20 12:44,"963 Dogwood Blvd, New York City, NY 10001",M,52,3
209216,AA Batteries (12 Pack),1,11.95,08/31/20 19:37,"11 Chestnut St, Miami, FL 33133",F,38,2
209217,Bike Helmet,1,27.95,08/13/20 20:22,"796 Knoll Blvd, Las Vegas, NV 88901",F,57,3
209218,Bike Helmet,1,27.95,08/14/20 14:14,"206 3rd Ave, Chicago, IL 60007",F,43,3
209219,Space Cadet Snow Blower,1,1399.0,08/16/20 14:52,"312 North Dr, Chicago, IL 60007",M,40,2
209220,Bike Helmet,1,27.95,08/22/20 20:04,"695 MLK Ave, Sacramento, CA 94203",F,63,4
209221,Craft Scissors (8 Pack),1,36.0,08/03/20 14:03,"654 Bell Ave, Minneapolis, MN 55111",M,28,2
209221,Tub of 50 Marbles,1,17.75,08/03/20 14:03,"654 Bell Ave, Minneapolis, MN 55111",M,28,2
209222,Cherry & Oliver Pitter,1,15.49,08/29/20 14:12,"126 7th Ave, Denver, CO 80259",F,19,1
209223,AA Batteries (12 Pack),1,11.95,08/04/20 19:03,"471 5th Rd, Miami, FL 33133",M,20,1
209224,Knee High Boots,1,129.2,08/29/20 08:07,"170 2nd St, Miami, FL 33133",F,86,4
209225,Wireless Phone Charger,1,42.42,08/29/20 21:42,"174 1st Rd, New York City, NY 10001",M,51,3
209226,Shooter Video Game,1,59.99,08/12/20 16:58,"462 8th Court, Sacramento, CA 94203",F,24,1
209227,Wireless Phone Charger,1,42.42,08/28/20 18:56,"135 Chestnut Rd, Miami, FL 33133",M,48,3
209228,Craft Scissors (8 Pack),1,36.0,08/05/20 17:40,"360 1st Dr, Chicago, IL 60007",F,51,3
209229,Shooter Video Game,1,59.99,08/24/20 08:01,"73 8th Dr, Chicago, IL 60007",M,31,2
209230,Shooter Video Game,1,59.99,09/01/20 04:13,"841 4th Lane, Miami, FL 33133",M,21,1
209231,Bike Helmet,1,27.95,08/16/20 12:02,"482 5th Rd, Denver, CO 80259",F,66,4
209232,Mechanical Scale,1,38.88,08/04/20 09:40,"950 Bell St, Miami, FL 33133",F,44,3
209233,Cherry & Oliver Pitter,1,15.49,08/23/20 12:07,"987 Virginia Blvd, Sacramento, CA 94203",F,46,3
209234,Mechanical Scale,1,38.88,08/01/20 18:33,"840 Virginia Ave, Sacramento, CA 94203",M,81,4
209235,Shower Grab Bar,1,34.98,08/14/20 13:17,"682 Knoll Blvd, Minneapolis, MN 55111",M,58,3
209236,Wireless Phone Charger,1,42.42,08/18/20 14:05,"807 Knoll Way, Chicago, IL 60007",F,20,1
209237,Sun Hat,1,24.96,08/05/20 07:01,"687 Bell St, Sacramento, CA 94203",F,76,4
209238,Shooter Video Game,1,59.99,08/03/20 14:40,"728 1st St, Miami, FL 33133",F,48,3
209239,Wireless Phone Charger,1,42.42,08/15/20 22:07,"626 Bell Blvd, New York City, NY 10001",F,32,2
209240,AA Batteries (12 Pack),1,11.95,08/31/20 21:48,"749 6th Blvd, Chicago, IL 60007",F,76,4
209241,Wireless Phone Charger,1,42.42,08/10/20 20:11,"681 Dogwood Rd, Miami, FL 33133",M,25,1
209242,Snazzy Hair Clips (3 Pack),1,5.3,08/09/20 10:22,"453 Redwood Blvd, Miami, FL 33133",M,85,4
209243,Shooter Video Game,1,59.99,08/27/20 18:43,"286 Redwood Ave, New York City, NY 10001",M,40,2
209244,Wireless Phone Charger,1,42.42,08/05/20 21:41,"886 Ridge Rd, Las Vegas, NV 88901",F,28,2
209245,Snazzy Hair Clips (3 Pack),1,5.3,08/17/20 13:14,"369 Washington Ave, Las Vegas, NV 88901",F,40,2
209246,Snazzy Hair Clips (3 Pack),1,5.3,08/21/20 08:34,"336 Dogwood St, Las Vegas, NV 88901",F,61,4
209247,Sun Hat,1,24.96,08/29/20 20:45,"359 MLK St, Las Vegas, NV 88901",F,57,3
209248,Cherry & Oliver Pitter,1,15.49,08/06/20 14:03,"82 2nd Lane, Miami, FL 33133",F,90,4
209249,Bungee Cords (10 Pack),1,11.45,08/10/20 21:38,"537 13th Blvd, Chicago, IL 60007",F,32,2
209250,Bungee Cords (10 Pack),1,11.45,08/26/20 14:58,"587 Lincoln Rd, Sacramento, CA 94203",M,86,4
209251,Velcro Shoes,1,43.16,08/14/20 23:11,"265 2nd Lane, Sacramento, CA 94203",F,28,2
209252,AA Batteries (12 Pack),1,11.95,08/02/20 12:59,"810 6th Dr, Chicago, IL 60007",M,18,1
209253,Wireless Phone Charger,1,42.42,08/21/20 17:17,"947 Sunset Dr, Las Vegas, NV 88901",M,66,4
209254,Shooter Video Game,1,59.99,08/25/20 07:34,"842 Cypress Rd, Chicago, IL 60007",F,56,3
209255,Bungee Cords (10 Pack),1,11.45,08/15/20 22:20,"394 Redwood Ave, Chicago, IL 60007",F,48,3
209256,Bungee Cords (10 Pack),1,11.45,08/28/20 21:51,"613 3rd Dr, Las Vegas, NV 88901",F,37,2
209257,Shooter Video Game,1,59.99,08/31/20 10:10,"302 Knoll St, New York City, NY 10001",M,22,1
209258,Wireless Phone Charger,1,42.42,08/05/20 12:31,"438 Redwood Way, Minneapolis, MN 55111",F,29,2
209259,Earthworm Fishing Lure (32 Pack),2,7.28,08/01/20 13:07,"438 6th Way, Miami, FL 33133",F,84,4
209260,Tub of 50 Marbles,1,17.75,08/16/20 16:05,"474 5th St, Las Vegas, NV 88901",F,24,1
209261,Cherry & Oliver Pitter,1,15.49,08/21/20 23:25,"968 6th Rd, Miami, FL 33133",F,56,3
209262,Wireless Phone Charger,1,42.42,08/07/20 12:19,"293 10th Blvd, New York City, NY 10001",M,29,2
209263,Shooter Video Game,1,59.99,08/30/20 17:25,"263 Sunset Ave, Sacramento, CA 94203",F,52,3
209264,Velcro Shoes,1,43.16,08/25/20 20:11,"252 10th Ave, Las Vegas, NV 88901",M,53,3
209264,Tub of 50 Marbles,2,17.75,08/25/20 20:11,"252 10th Ave, Las Vegas, NV 88901",M,53,3
209265,Hair Curler,1,93.31,08/07/20 13:18,"922 4th St, Chicago, IL 60007",M,86,4
209266,Sun Hat,1,24.96,08/20/20 05:02,"880 4th St, Chicago, IL 60007",F,48,3
209267,Bungee Cords (10 Pack),1,11.45,08/20/20 08:29,"13 Ridge Way, Minneapolis, MN 55111",M,50,3
209267,Tub of 50 Marbles,1,17.75,08/20/20 08:29,"13 Ridge Way, Minneapolis, MN 55111",M,50,3
209268,Sun Hat,1,24.96,08/26/20 17:28,"848 West St, Miami, FL 33133",M,38,2
209269,Vuvuzela,1,4.99,08/24/20 12:34,"239 Bell Ave, Minneapolis, MN 55111",M,20,1
209270,Bike Helmet,1,27.95,08/05/20 13:53,"704 1st Court, Las Vegas, NV 88901",F,40,2
209271,Craft Scissors (8 Pack),1,36.0,08/21/20 16:22,"443 Cypress Ave, Minneapolis, MN 55111",M,86,4
209272,Wireless Phone Charger,1,42.42,08/04/20 12:18,"51 2nd Blvd, Minneapolis, MN 55111",F,47,3
209273,Shooter Video Game,1,59.99,08/11/20 13:24,"23 8th St, Omaha, NE 68007",F,25,1
209274,Knee High Boots,1,129.2,08/30/20 13:42,"318 7th Blvd, Sacramento, CA 94203",F,59,3
209275,Wireless Phone Charger,1,42.42,08/11/20 23:00,"799 11th Rd, Miami, FL 33133",F,71,4
209276,Shooter Video Game,1,59.99,08/14/20 06:32,"889 1st St, New York City, NY 10001",M,19,1
209277,AA Batteries (12 Pack),1,11.95,08/26/20 12:36,"866 Ridge St, Sacramento, CA 94203",F,73,4
209278,Bungee Cords (10 Pack),1,11.45,08/12/20 08:57,"145 9th Way, New York City, NY 10001",F,75,4
209279,Bike Helmet,1,27.95,09/01/20 03:26,"902 Dogwood St, Denver, CO 80259",M,43,3
209280,Snazzy Hair Clips (3 Pack),2,5.3,08/01/20 15:18,"21 13th Rd, Chicago, IL 60007",F,68,4
209281,Shooter Video Game,1,59.99,08/15/20 21:22,"886 South Rd, New York City, NY 10001",M,19,1
209282,Velcro Shoes,1,43.16,08/18/20 23:28,"559 Cypress Ave, Minneapolis, MN 55111",M,71,4
209283,Sun Hat,1,24.96,08/31/20 18:37,"157 9th Way, Chicago, IL 60007",F,31,2
209284,Tub of 50 Marbles,1,17.75,08/14/20 14:17,"769 3rd Ave, New York City, NY 10001",F,45,3
209285,Tub of 50 Marbles,1,17.75,08/26/20 11:04,"881 2nd Rd, Chicago, IL 60007",F,50,3
209286,Sun Hat,1,24.96,08/27/20 10:22,"697 West St, Denver, CO 80259",F,43,3
209287,Velcro Shoes,1,43.16,08/23/20 18:05,"539 7th Dr, Chicago, IL 60007",M,27,2
209288,Hair Curler,1,93.31,08/15/20 16:54,"355 MLK Rd, Miami, FL 33133",F,61,4
209288,Snazzy Hair Clips (3 Pack),1,5.3,08/15/20 16:54,"355 MLK Rd, Miami, FL 33133",F,61,4
209289,Shower Grab Bar,1,34.98,08/01/20 08:20,"335 Ridge Ave, Sacramento, CA 94203",F,77,4
209290,Knee High Boots,1,129.2,08/02/20 08:23,"101 8th Rd, Miami, FL 33133",M,88,4
209291,Snazzy Hair Clips (3 Pack),1,5.3,08/19/20 13:33,"147 Washington Ave, New York City, NY 10001",F,30,2
209292,Hair Curler,1,93.31,08/23/20 14:57,"969 10th Blvd, New York City, NY 10001",F,49,3
209293,Snazzy Hair Clips (3 Pack),1,5.3,08/07/20 18:22,"750 Ridge St, Chicago, IL 60007",F,18,1
209294,Sun Hat,1,24.96,08/05/20 20:36,"424 Ridge Lane, Chicago, IL 60007",F,50,3
209295,Velcro Shoes,1,43.16,08/08/20 12:55,"697 5th St, New York City, NY 10001",M,82,4
209296,Knee High Boots,1,129.2,08/05/20 14:08,"963 11th Dr, Miami, FL 33133",M,22,1
209297,Wireless Phone Charger,1,42.42,08/22/20 15:55,"486 11th Rd, Chicago, IL 60007",F,22,1
209298,Sun Hat,1,24.96,08/23/20 15:18,"427 South Dr, New York City, NY 10001",F,75,4
209299,AA Batteries (12 Pack),1,11.95,08/31/20 19:17,"702 8th St, Omaha, NE 68007",M,53,3
209300,Cherry & Oliver Pitter,1,15.49,08/30/20 11:00,"345 13th Ave, New York City, NY 10001",F,40,2
209301,Bike Helmet,1,27.95,08/29/20 17:46,"272 Chestnut Dr, Denver, CO 80259",M,41,3
209302,AA Batteries (12 Pack),1,11.95,08/07/20 08:49,"300 Dogwood Ave, New York City, NY 10001",M,70,4
209303,Snazzy Hair Clips (3 Pack),1,5.3,08/05/20 11:46,"929 Chestnut St, Miami, FL 33133",F,71,4
209303,Hair Curler,1,93.31,08/05/20 11:46,"929 Chestnut St, Miami, FL 33133",F,71,4
209304,Wireless Phone Charger,1,42.42,08/17/20 08:57,"358 11th Blvd, Omaha, NE 68007",F,33,2
209305,Shooter Video Game,1,59.99,08/19/20 21:00,"462 Lincoln Lane, New York City, NY 10001",F,25,1
209306,Bungee Cords (10 Pack),1,11.45,08/19/20 19:35,"464 Virginia Dr, Omaha, NE 68007",F,87,4
209307,Wireless Phone Charger,1,42.42,08/11/20 07:48,"664 Cypress Blvd, Las Vegas, NV 88901",M,50,3
209308,Hair Curler,1,93.31,08/19/20 09:20,"747 5th St, Las Vegas, NV 88901",F,58,3
209308,AA Batteries (12 Pack),1,11.95,08/19/20 09:20,"747 5th St, Las Vegas, NV 88901",F,58,3
209309,Sun Hat,1,24.96,08/05/20 18:51,"628 12th Way, Chicago, IL 60007",M,43,3
209310,Sun Hat,1,24.96,08/02/20 13:38,"413 Chestnut Rd, Chicago, IL 60007",F,25,1
209311,Snazzy Hair Clips (3 Pack),1,5.3,08/11/20 15:46,"489 5th St, New York City, NY 10001",M,32,2
209312,Bungee Cords (10 Pack),1,11.45,08/31/20 14:12,"650 7th Rd, Las Vegas, NV 88901",M,54,3
209313,Shooter Video Game,1,59.99,08/25/20 18:50,"840 11th Rd, Denver, CO 80259",M,24,1
209314,Velcro Shoes,1,43.16,08/16/20 21:05,"80 11th St, Miami, FL 33133",F,88,4
209315,Mechanical Scale,1,38.88,08/24/20 09:10,"658 12th Ave, New York City, NY 10001",M,57,3
209316,AA Batteries (12 Pack),1,11.95,08/12/20 20:22,"679 4th Ave, Las Vegas, NV 88901",M,18,1
209317,Bungee Cords (10 Pack),1,11.45,08/09/20 07:15,"862 Dogwood St, New York City, NY 10001",M,54,3
209318,Snazzy Hair Clips (3 Pack),1,5.3,08/19/20 19:31,"82 Chestnut Ave, Las Vegas, NV 88901",M,62,4
209319,Craft Scissors (8 Pack),1,36.0,08/06/20 14:12,"894 Cypress Rd, Chicago, IL 60007",F,49,3
209319,Tub of 50 Marbles,1,17.75,08/06/20 14:12,"894 Cypress Rd, Chicago, IL 60007",F,49,3
209320,Bungee Cords (10 Pack),1,11.45,08/06/20 10:55,"823 Virginia Rd, Denver, CO 80259",F,75,4
209321,Noahs Arc Soundbar,1,799.0,08/24/20 20:01,"327 13th Rd, Chicago, IL 60007",M,49,3
209322,Sun Hat,1,24.96,08/10/20 23:19,"658 1st Blvd, Denver, CO 80259",F,23,1
209323,Earthworm Fishing Lure (32 Pack),1,7.28,08/26/20 19:59,"451 8th Ave, Chicago, IL 60007",M,20,1
209324,Hair Curler,1,93.31,08/20/20 13:49,"139 11th St, Sacramento, CA 94203",F,24,1
209324,Snazzy Hair Clips (3 Pack),1,5.3,08/20/20 13:49,"139 11th St, Sacramento, CA 94203",F,24,1
209325,Knee High Boots,1,129.2,08/31/20 07:07,"517 13th Rd, Minneapolis, MN 55111",F,64,4
209326,Wireless Phone Charger,1,42.42,08/31/20 10:14,"939 Bell Rd, New York City, NY 10001",M,45,3
209327,Shooter Video Game,1,59.99,08/10/20 20:32,"131 South St, Miami, FL 33133",M,21,1
209328,Bungee Cords (10 Pack),1,11.45,08/15/20 12:03,"544 Redwood Lane, New York City, NY 10001",M,62,4
209329,AA Batteries (12 Pack),1,11.95,08/17/20 15:36,"196 South St, New York City, NY 10001",M,51,3
209330,Knee High Boots,1,129.2,08/07/20 19:25,"590 Knoll Rd, New York City, NY 10001",F,78,4
209331,Shooter Video Game,1,59.99,08/06/20 18:45,"393 Ridge St, Las Vegas, NV 88901",M,29,2
209332,Tub of 50 Marbles,1,17.75,08/22/20 01:26,"506 1st Blvd, Las Vegas, NV 88901",F,59,3
209333,Shooter Video Game,1,59.99,08/12/20 22:39,"406 7th Dr, Chicago, IL 60007",M,36,2
209334,AA Batteries (12 Pack),1,11.95,08/30/20 23:47,"576 4th Rd, Las Vegas, NV 88901",M,60,3
209335,Vuvuzela,1,4.99,08/26/20 20:00,"688 Dogwood Way, Miami, FL 33133",M,22,1
209336,Shooter Video Game,1,59.99,08/27/20 11:57,"539 7th Dr, Miami, FL 33133",F,21,1
209337,Velcro Shoes,1,43.16,08/16/20 18:39,"912 North Blvd, Minneapolis, MN 55111",M,20,1
209338,AA Batteries (12 Pack),1,11.95,08/09/20 02:38,"654 Redwood St, Sacramento, CA 94203",F,54,3
209339,AA Batteries (12 Pack),1,11.95,08/27/20 12:39,"489 North Rd, New York City, NY 10001",F,73,4
209340,AA Batteries (12 Pack),1,11.95,08/05/20 21:42,"725 Ridge Ave, Minneapolis, MN 55111",M,71,4
209341,Wireless Phone Charger,1,42.42,08/16/20 13:01,"718 1st Rd, Chicago, IL 60007",M,51,3
209342,Wireless Phone Charger,1,42.42,08/21/20 11:39,"122 MLK Ave, Sacramento, CA 94203",M,39,2
209343,Craft Scissors (8 Pack),1,36.0,08/06/20 19:39,"380 Washington Ave, Miami, FL 33133",F,38,2
209344,Wireless Phone Charger,1,42.42,08/24/20 17:35,"494 Cypress Lane, New York City, NY 10001",M,59,3
209345,AA Batteries (12 Pack),1,11.95,08/17/20 09:41,"71 Bell Rd, Miami, FL 33133",F,78,4
209346,Craft Scissors (8 Pack),1,36.0,08/06/20 20:48,"439 11th St, Las Vegas, NV 88901",F,37,2
209347,Sun Hat,1,24.96,08/11/20 10:18,"307 Virginia Ave, Las Vegas, NV 88901",M,26,2
209348,Bike Helmet,1,27.95,08/18/20 06:38,"326 3rd Court, Chicago, IL 60007",M,49,3
209349,Wireless Phone Charger,1,42.42,08/08/20 20:43,"464 3rd St, Chicago, IL 60007",F,54,3
209350,AA Batteries (12 Pack),1,11.95,08/29/20 17:13,"330 West Ave, Sacramento, CA 94203",F,53,3
209351,Bungee Cords (10 Pack),1,11.45,08/15/20 09:30,"292 13th Ave, Miami, FL 33133",F,83,4
209352,Snazzy Hair Clips (3 Pack),2,5.3,08/12/20 22:52,"462 12th Blvd, Chicago, IL 60007",F,41,3
209353,Bungee Cords (10 Pack),1,11.45,08/24/20 19:20,"307 13th Ave, Chicago, IL 60007",F,52,3
209354,Wireless Phone Charger,1,42.42,08/05/20 23:51,"820 Washington Blvd, Denver, CO 80259",M,75,4
209355,Bungee Cords (10 Pack),1,11.45,08/23/20 20:17,"825 11th Ave, Sacramento, CA 94203",M,75,4
209356,Snazzy Hair Clips (3 Pack),1,5.3,08/12/20 19:44,"959 Bell St, Chicago, IL 60007",F,36,2
