id,product,quantity,price,date,address,sex,age,age_group
261674,AA Batteries (12 Pack),1,11.95,12/29/20 22:37,"222 Cypress Dr, Las Vegas, NV 88901",F,34,2
261675,Milky Mama Nursing Cover,1,20.0,12/16/20 13:24,"522 West Ave, Denver, CO 80259",M,19,1
261676,Mechanical Scale,1,38.88,12/04/20 14:43,"762 9th St, Baton Rouge, LA 70808",F,21,1
261677,Knee High Boots,1,129.2,12/18/20 08:23,"790 Chestnut Blvd, Denver, CO 80259",F,80,4
261678,Velcro Shoes,1,43.16,12/26/20 17:14,"970 Cypress St, Denver, CO 80259",M,32,2
261678,Sun Hat,1,24.96,12/26/20 17:14,"970 Cypress St, Denver, CO 80259",M,32,2
261679,Sun Hat,1,24.96,12/26/20 14:38,"932 10th Lane, Minneapolis, MN 55111",M,84,4
261680,AA Batteries (12 Pack),1,11.95,12/13/20 22:56,"943 13th Rd, Chicago, IL 60007",F,19,1
261681,Shooter Video Game,1,59.99,12/06/20 19:56,"315 Ridge Ave, Miami, FL 33133",M,24,1
261682,Craft Scissors (8 Pack),2,36.0,12/15/20 09:07,"142 4th Dr, Sacramento, CA 94203",F,67,4
261682,Earthworm Fishing Lure (32 Pack),1,7.28,12/15/20 09:07,"142 4th Dr, Sacramento, CA 94203",F,67,4
261683,Snazzy Hair Clips (3 Pack),1,5.3,12/05/20 14:27,"271 Ridge Rd, Providence, RI 02902",F,19,1
261684,Bungee Cords (10 Pack),2,11.45,12/20/20 15:10,"614 8th Ave, New York City, NY 10001",M,43,3
261685,Vuvuzela,1,4.99,12/22/20 09:54,"991 13th Ave, Miami, FL 33133",M,40,2
261686,Sun Hat,1,24.96,12/05/20 19:38,"851 2nd Court, Minneapolis, MN 55111",F,20,1
261687,Hair Curler,1,93.31,12/30/20 22:12,"149 MLK St, New York City, NY 10001",M,21,1
261688,Hair Curler,1,93.31,12/10/20 23:05,"951 5th Ave, Omaha, NE 68007",M,79,4
261688,Milky Mama Nursing Cover,1,20.0,12/10/20 23:05,"951 5th Ave, Omaha, NE 68007",M,79,4
261689,Velcro Shoes,1,43.16,12/15/20 14:52,"641 Redwood St, Minneapolis, MN 55111",M,36,2
261690,Bike Helmet,1,27.95,12/29/20 09:04,"34 7th Blvd, Las Vegas, NV 88901",F,62,4
261691,Craft Scissors (8 Pack),1,36.0,12/23/20 15:00,"338 Knoll St, Providence, RI 02902",M,23,1
261692,Shooter Video Game,1,59.99,12/29/20 12:07,"728 MLK Rd, New York City, NY 10001",M,23,1
261693,Shower Grab Bar,1,34.98,12/14/20 08:45,"682 9th Dr, New York City, NY 10001",M,51,3
261694,Shooter Video Game,1,59.99,12/05/20 20:50,"140 West Ave, Minneapolis, MN 55111",F,25,1
261695,Sun Hat,1,24.96,12/27/20 20:54,"350 5th Rd, Las Vegas, NV 88901",M,24,1
261696,Shooter Video Game,1,59.99,12/15/20 20:43,"788 Lincoln Ave, New York City, NY 10001",F,48,3
261697,Shooter Video Game,1,59.99,12/15/20 11:29,"448 South Blvd, Las Vegas, NV 88901",M,18,1
261698,Mechanical Scale,1,38.88,12/05/20 02:44,"218 11th Way, Miami, FL 33133",F,49,3
261699,Vuvuzela,1,4.99,12/27/20 16:48,"286 North Blvd, Sacramento, CA 94203",M,42,3
261700,Tub of 50 Marbles,1,17.75,12/21/20 16:49,"737 8th Ave, Minneapolis, MN 55111",F,39,2
261701,Noahs Arc Soundbar,1,799.0,12/31/20 23:59,"710 5th Ave, Las Vegas, NV 88901",F,36,2
261702,Tub of 50 Marbles,1,17.75,12/19/20 13:59,"414 2nd Lane, Miami, FL 33133",F,38,2
261703,Wireless Phone Charger,1,42.42,12/31/20 08:45,"170 6th Ave, Chicago, IL 60007",F,37,2
261704,Hair Curler,1,93.31,12/06/20 20:55,"149 13th Dr, Sacramento, CA 94203",M,22,1
261705,Bungee Cords (10 Pack),1,11.45,12/10/20 08:49,"845 9th St, Las Vegas, NV 88901",F,51,3
261706,AA Batteries (12 Pack),1,11.95,12/15/20 01:10,"335 Virginia Rd, New York City, NY 10001",M,51,3
261707,Shower Grab Bar,1,34.98,12/07/20 18:15,"198 Virginia St, Sacramento, CA 94203",M,47,3
261708,Shooter Video Game,1,59.99,12/23/20 13:33,"67 4th Dr, Las Vegas, NV 88901",F,31,2
261709,AA Batteries (12 Pack),1,11.95,12/24/20 12:11,"685 Knoll St, Minneapolis, MN 55111",F,50,3
261710,Snazzy Hair Clips (3 Pack),1,5.3,12/08/20 10:11,"458 6th Blvd, Las Vegas, NV 88901",F,25,1
261711,Knee High Boots,1,129.2,12/21/20 12:20,"696 Main Way, Miami, FL 33133",F,56,3
261712,Bike Helmet,1,27.95,12/02/20 13:05,"717 9th Dr, Providence, RI 02902",M,62,4
261713,Snazzy Hair Clips (3 Pack),1,5.3,12/18/20 19:54,"192 7th St, Miami, FL 33133",F,42,3
261714,Bungee Cords (10 Pack),1,11.45,12/24/20 16:24,"736 11th St, Las Vegas, NV 88901",M,72,4
261715,Shooter Video Game,1,59.99,12/03/20 13:37,"30 MLK Ave, Minneapolis, MN 55111",M,52,3
261716,Snazzy Hair Clips (3 Pack),1,5.3,12/06/20 11:37,"457 Main Rd, Las Vegas, NV 88901",F,21,1
261717,Shooter Video Game,1,59.99,12/22/20 12:31,"40 7th Way, Chicago, IL 60007",M,24,1
261718,Knee High Boots,1,129.2,12/14/20 20:29,"260 6th St, Denver, CO 80259",M,27,2
261719,Shooter Video Game,1,59.99,12/21/20 18:54,"469 Cypress Way, Sacramento, CA 94203",M,52,3
261720,Wireless Phone Charger,1,42.42,12/01/20 21:03,"269 Knoll Rd, Denver, CO 80259",F,45,3
261721,Craft Scissors (8 Pack),1,36.0,12/18/20 08:52,"495 12th Way, Miami, FL 33133",M,42,3
261722,Bike Helmet,1,27.95,12/11/20 09:54,"586 11th St, Omaha, NE 68007",F,84,4
261723,Snazzy Hair Clips (3 Pack),1,5.3,12/15/20 10:51,"403 Dogwood Rd, Chicago, IL 60007",F,40,2
261724,Shooter Video Game,1,59.99,12/20/20 10:17,"215 West St, New York City, NY 10001",F,23,1
261725,Shooter Video Game,2,59.99,12/02/20 10:08,"944 Ridge St, Las Vegas, NV 88901",F,25,1
261726,Knee High Boots,1,129.2,12/18/20 22:35,"216 South Blvd, Chicago, IL 60007",F,45,3
261727,Wireless Phone Charger,1,42.42,12/08/20 21:58,"192 Main Court, New York City, NY 10001",M,51,3
261728,AA Batteries (12 Pack),1,11.95,12/13/20 16:14,"406 Chestnut Rd, Sacramento, CA 94203",F,18,1
261729,Velcro Shoes,1,43.16,12/05/20 15:50,"520 Dogwood Rd, New York City, NY 10001",F,59,3
261730,AA Batteries (12 Pack),1,11.95,12/26/20 13:23,"555 6th St, Sacramento, CA 94203",M,33,2
261731,Bungee Cords (10 Pack),1,11.45,12/28/20 07:35,"418 3rd St, Sacramento, CA 94203",M,34,2
261731,Mechanical Scale,1,38.88,12/28/20 07:35,"418 3rd St, Sacramento, CA 94203",M,34,2
