id,product,quantity,price,date,address,sex,age,age_group
133015,Hair Curler,1,93.31,02/28/20 00:35,"675 3rd Court, Miami, FL 33133",F,18,1
133016,AA Batteries (12 Pack),1,11.95,02/11/20 20:03,"463 MLK Court, New York City, NY 10001",F,23,1
133017,AA Batteries (12 Pack),1,11.95,02/01/20 22:24,"64 Redwood Ave, Las Vegas, NV 88901",M,59,3
133018,Shooter Video Game,1,59.99,02/28/20 19:13,"17 5th St, Chicago, IL 60007",M,72,4
133019,Knee High Boots,1,129.2,02/22/20 19:02,"160 North Rd, Las Vegas, NV 88901",F,51,3
133020,Shower Grab Bar,1,34.98,02/21/20 08:45,"12 Virginia Way, Sacramento, CA 94203",M,80,4
133021,Shooter Video Game,1,59.99,02/28/20 16:06,"303 Sunset Lane, Baton Rouge, LA 70808",M,22,1
133022,Mechanical Scale,1,38.88,02/10/20 19:44,"145 10th Rd, Las Vegas, NV 88901",M,41,3
133023,Shooter Video Game,1,59.99,02/08/20 17:26,"108 9th St, Las Vegas, NV 88901",M,20,1
133024,AA Batteries (12 Pack),1,11.95,02/28/20 20:35,"270 12th Rd, Sacramento, CA 94203",M,63,4
133025,Mechanical Scale,1,38.88,02/04/20 19:14,"972 Dogwood Dr, Las Vegas, NV 88901",F,47,3
133026,Snazzy Hair Clips (3 Pack),2,5.3,02/14/20 12:40,"664 Washington Ave, Sacramento, CA 94203",F,18,1
133027,Mechanical Scale,1,38.88,02/18/20 06:39,"685 Redwood Rd, Chicago, IL 60007",F,45,3
133028,Sun Hat,1,24.96,02/09/20 18:49,"824 Washington Ave, Chicago, IL 60007",F,87,4
133029,Snazzy Hair Clips (3 Pack),1,5.3,02/11/20 21:16,"277 Chestnut Rd, Las Vegas, NV 88901",F,24,1
133030,Knee High Boots,1,129.2,02/04/20 22:22,"668 Knoll Ave, Chicago, IL 60007",F,52,3
133031,Sun Hat,1,24.96,02/29/20 19:29,"529 Sunset Blvd, Providence, RI 02902",F,23,1
133032,Cherry & Oliver Pitter,1,15.49,02/19/20 23:39,"539 Knoll Lane, Miami, FL 33133",F,28,2
133033,Snazzy Hair Clips (3 Pack),1,5.3,02/02/20 20:14,"392 1st Rd, Sacramento, CA 94203",F,86,4
133034,Sun Hat,1,24.96,02/29/20 16:13,"336 Bell St, Chicago, IL 60007",F,25,1
133035,Snazzy Hair Clips (3 Pack),1,5.3,02/20/20 13:11,"594 West St, New York City, NY 10001",F,59,3
133036,Shower Grab Bar,1,34.98,02/29/20 07:20,"826 4th St, Chicago, IL 60007",M,69,4
133037,AA Batteries (12 Pack),1,11.95,02/24/20 10:18,"731 Redwood Ave, Las Vegas, NV 88901",M,21,1
133038,Hair Curler,1,93.31,02/07/20 09:56,"223 1st Ave, Sacramento, CA 94203",F,24,1
133038,Milky Mama Nursing Cover,1,20.0,02/07/20 09:56,"223 1st Ave, Sacramento, CA 94203",F,24,1
133039,Bungee Cords (10 Pack),2,11.45,02/04/20 20:26,"346 5th St, New York City, NY 10001",M,21,1
133040,Wireless Phone Charger,1,42.42,02/01/20 18:49,"284 6th Court, Miami, FL 33133",F,19,1
133041,Cherry & Oliver Pitter,2,15.49,02/05/20 11:09,"289 7th Rd, Miami, FL 33133",M,27,2
133042,AA Batteries (12 Pack),1,11.95,02/06/20 15:54,"248 9th St, Chicago, IL 60007",M,46,3
133043,Shooter Video Game,1,59.99,02/18/20 00:46,"732 MLK Ave, Sacramento, CA 94203",M,57,3
133044,Bungee Cords (10 Pack),1,11.45,02/06/20 11:27,"274 MLK Rd, Miami, FL 33133",F,25,1
133045,Wireless Phone Charger,1,42.42,02/26/20 10:10,"431 Redwood Ave, Miami, FL 33133",F,24,1
133046,Milky Mama Nursing Cover,1,20.0,02/28/20 11:17,"391 13th Ave, New York City, NY 10001",F,20,1
133047,Shooter Video Game,1,59.99,02/03/20 14:31,"76 Virginia St, Chicago, IL 60007",M,33,2
