id,product,quantity,price,date,address,sex,age,age_group
123456,Snazzy Hair Clips (3 Pack),1,5.3,01/10/20 22:01,"150 West Ave, Las Vegas, NV 88901",F,31,2
123457,Bungee Cords (10 Pack),1,11.45,01/08/20 19:26,"439 10th Rd, Miami, FL 33133",F,45,3
123458,Wireless Phone Charger,1,42.42,01/27/20 18:31,"979 Sunset Rd, Denver, CO 80259",F,40,2
123458,Knee High Boots,1,129.2,01/27/20 18:31,"979 Sunset Rd, Denver, CO 80259",F,40,2
123459,Vuvuzela,1,4.99,01/10/20 14:00,"831 Virginia Blvd, Las Vegas, NV 88901",F,34,2
123460,Bungee Cords (10 Pack),1,11.45,01/09/20 15:37,"961 11th Rd, Miami, FL 33133",M,37,2
123461,Milky Mama Nursing Cover,1,20.0,01/12/20 13:42,"542 7th St, New York City, NY 10001",F,49,3
123462,Shower Grab Bar,1,34.98,01/04/20 22:04,"711 Cypress St, Chicago, IL 60007",M,89,4
123463,Wireless Phone Charger,1,42.42,01/23/20 09:40,"123 13th Ave, Baton Rouge, LA 70808",M,42,3
123464,Craft Scissors (8 Pack),1,36.0,01/14/20 14:19,"641 7th Rd, Chicago, IL 60007",F,28,2
123465,Snazzy Hair Clips (3 Pack),1,5.3,01/16/20 17:19,"846 Washington Way, Miami, FL 33133",M,53,3
123466,Bike Helmet,1,27.95,01/29/20 21:54,"377 Ridge Ave, Providence, RI 02902",M,47,3
123467,Knee High Boots,1,129.2,01/23/20 13:30,"826 Main Blvd, Baton Rouge, LA 70808",F,27,2
123468,Wireless Phone Charger,1,42.42,01/21/20 12:07,"748 Virginia St, Miami, FL 33133",F,48,3
123469,Velcro Shoes,1,43.16,01/14/20 12:45,"635 10th Rd, Sacramento, CA 94203",F,34,2
123470,Hair Curler,1,93.31,01/12/20 18:36,"365 Chestnut Ave, Minneapolis, MN 55111",F,20,1
123471,Sun Hat,1,24.96,01/25/20 13:32,"428 11th Blvd, Providence, RI 02902",F,46,3
123472,Mechanical Scale,1,38.88,01/28/20 22:18,"390 6th St, Chicago, IL 60007",M,73,4
123473,Wireless Phone Charger,1,42.42,01/11/20 09:18,"971 Bell Ave, New York City, NY 10001",M,33,2
123474,Bike Helmet,1,27.95,01/17/20 14:42,"795 Lincoln Blvd, Miami, FL 33133",F,34,2
123475,Hair Curler,1,93.31,01/11/20 21:03,"206 Bell Rd, Chicago, IL 60007",M,36,2
123475,Milky Mama Nursing Cover,1,20.0,01/11/20 21:03,"206 Bell Rd, Chicago, IL 60007",M,36,2
