id,product,quantity,price,date,address,sex,age,age_group
202077,Wireless Phone Charger,1,42.42,07/09/20 14:34,"612 Chestnut Lane, New York City, NY 10001",M,26,2
202078,Sun Hat,2,24.96,07/21/20 09:20,"619 Bell St, Chicago, IL 60007",F,87,4
202079,Snazzy Hair Clips (3 Pack),1,5.3,07/26/20 20:32,"738 Washington Blvd, Miami, FL 33133",M,33,2
202080,Shooter Video Game,1,59.99,07/17/20 11:26,"564 1st Rd, Sacramento, CA 94203",F,25,1
202081,Mechanical Scale,1,38.88,07/22/20 07:58,"254 12th Lane, Sacramento, CA 94203",M,58,3
202082,Sun Hat,1,24.96,07/07/20 23:26,"296 North St, Miami, FL 33133",M,33,2
202083,Bungee Cords (10 Pack),1,11.45,07/03/20 17:00,"458 North St, Chicago, IL 60007",M,54,3
202083,Tub of 50 Marbles,1,17.75,07/03/20 17:00,"458 North St, Chicago, IL 60007",M,54,3
202084,AA Batteries (12 Pack),1,11.95,07/07/20 04:05,"281 West St, New York City, NY 10001",M,55,3
202085,AA Batteries (12 Pack),1,11.95,07/17/20 22:29,"456 Bell Ave, Minneapolis, MN 55111",M,77,4
202086,Hair Curler,1,93.31,07/05/20 09:45,"714 Main St, Minneapolis, MN 55111",F,62,4
202086,Snazzy Hair Clips (3 Pack),2,5.3,07/05/20 09:45,"714 Main St, Minneapolis, MN 55111",F,62,4
202087,Knee High Boots,1,129.2,07/22/20 19:45,"64 8th St, Miami, FL 33133",F,57,3
202088,Sun Hat,1,24.96,07/08/20 11:45,"481 9th Rd, Miami, FL 33133",M,78,4
202089,Sun Hat,1,24.96,07/18/20 23:33,"715 6th Rd, Minneapolis, MN 55111",F,33,2
202090,Wireless Phone Charger,1,42.42,07/05/20 05:46,"377 Dogwood Rd, Las Vegas, NV 88901",F,19,1
202091,Knee High Boots,1,129.2,07/30/20 19:29,"958 Bell Dr, New York City, NY 10001",F,59,3
202092,Wireless Phone Charger,1,42.42,07/15/20 14:47,"979 MLK St, Las Vegas, NV 88901",F,83,4
