id,product,quantity,price,date,address,sex,age,age_group
192527,Wireless Phone Charger,1,42.42,06/10/20 17:14,"867 Knoll St, Miami, FL 33133",M,40,2
192528,Bungee Cords (10 Pack),1,11.45,06/08/20 13:07,"66 MLK Ave, Denver, CO 80259",F,70,4
192529,Wireless Phone Charger,1,42.42,06/25/20 23:59,"395 Main Lane, Minneapolis, MN 55111",F,47,3
192530,Sun Hat,1,24.96,06/06/20 13:35,"229 8th Rd, Chicago, IL 60007",M,22,1
192531,Cherry & Oliver Pitter,1,15.49,06/17/20 18:14,"465 West Blvd, Miami, FL 33133",M,81,4
192532,Wireless Phone Charger,1,42.42,06/17/20 00:20,"59 West Blvd, Sacramento, CA 94203",F,26,2
192533,Shooter Video Game,1,59.99,06/15/20 22:50,"116 13th Way, Las Vegas, NV 88901",M,20,1
192534,AA Batteries (12 Pack),1,11.95,06/13/20 19:03,"901 Dogwood St, New York City, NY 10001",F,51,3
192535,Noahs Arc Soundbar,1,799.0,06/26/20 14:56,"609 11th Rd, Las Vegas, NV 88901",M,76,4
192536,Hair Curler,1,93.31,06/21/20 22:31,"799 12th Lane, Minneapolis, MN 55111",F,58,3
192537,Shooter Video Game,1,59.99,06/05/20 22:44,"301 8th Rd, Chicago, IL 60007",F,57,3
192538,Shooter Video Game,1,59.99,06/26/20 12:34,"345 10th St, Miami, FL 33133",M,39,2
192539,Sun Hat,1,24.96,06/29/20 14:18,"891 MLK St, Miami, FL 33133",F,26,2
192540,Sun Hat,1,24.96,06/19/20 18:33,"968 10th Rd, New York City, NY 10001",M,29,2
192541,Bike Helmet,1,27.95,06/03/20 11:25,"762 Chestnut St, Denver, CO 80259",M,48,3
192542,Vuvuzela,1,4.99,06/17/20 20:12,"856 7th Dr, Denver, CO 80259",M,18,1
192543,Bungee Cords (10 Pack),1,11.45,06/20/20 18:00,"694 7th St, Omaha, NE 68007",M,42,3
192544,Snazzy Hair Clips (3 Pack),1,5.3,06/04/20 02:44,"295 8th St, Las Vegas, NV 88901",F,42,3
192545,Craft Scissors (8 Pack),1,36.0,06/24/20 12:28,"967 North Lane, Minneapolis, MN 55111",F,58,3
192546,AA Batteries (12 Pack),1,11.95,06/19/20 09:50,"854 7th Lane, Sacramento, CA 94203",M,52,3
192547,Sun Hat,1,24.96,06/16/20 08:04,"882 Ridge Dr, Omaha, NE 68007",F,32,2
192548,Knee High Boots,1,129.2,06/07/20 01:30,"860 9th Blvd, Minneapolis, MN 55111",F,19,1
192549,Wireless Phone Charger,1,42.42,06/14/20 20:08,"127 9th Dr, Chicago, IL 60007",F,37,2
192550,Snazzy Hair Clips (3 Pack),3,5.3,06/24/20 09:40,"225 Cypress Ave, New York City, NY 10001",F,39,2
192551,AA Batteries (12 Pack),1,11.95,06/26/20 10:52,"954 11th Lane, Las Vegas, NV 88901",F,81,4
192552,Hair Curler,1,93.31,06/14/20 11:05,"777 4th Ave, Minneapolis, MN 55111",F,47,3
192553,Mechanical Scale,1,38.88,06/14/20 20:44,"906 12th Ave, Baton Rouge, LA 70808",M,59,3
192554,Knee High Boots,1,129.2,06/18/20 18:13,"47 10th Rd, Sacramento, CA 94203",F,46,3
192555,Snazzy Hair Clips (3 Pack),1,5.3,06/23/20 22:36,"23 7th Ave, Denver, CO 80259",F,35,2
192556,Bungee Cords (10 Pack),2,11.45,06/14/20 21:45,"852 8th St, Chicago, IL 60007",F,35,2
192557,Mechanical Scale,1,38.88,06/01/20 12:10,"685 Sunset St, Las Vegas, NV 88901",F,83,4
192558,Shooter Video Game,1,59.99,06/01/20 21:22,"769 Dogwood Rd, Omaha, NE 68007",F,35,2
192559,Wireless Phone Charger,1,42.42,06/18/20 12:42,"713 Sunset Rd, Chicago, IL 60007",F,47,3
192560,Bike Helmet,1,27.95,06/21/20 22:07,"18 12th Dr, Sacramento, CA 94203",F,71,4
192561,Shooter Video Game,1,59.99,06/06/20 21:48,"168 Washington Rd, Denver, CO 80259",M,23,1
192562,Bungee Cords (10 Pack),1,11.45,06/30/20 18:27,"661 1st Dr, New York City, NY 10001",M,82,4
192563,Wireless Phone Charger,1,42.42,06/02/20 10:17,"544 Lincoln St, New York City, NY 10001",M,47,3
192564,Bungee Cords (10 Pack),1,11.45,06/07/20 20:50,"279 Lincoln Ave, Chicago, IL 60007",F,39,2
192565,Sun Hat,1,24.96,06/04/20 12:50,"997 West Rd, Chicago, IL 60007",F,70,4
192566,Shower Grab Bar,1,34.98,06/11/20 23:09,"126 South Lane, Las Vegas, NV 88901",M,74,4
192567,Hair Curler,2,93.31,06/27/20 13:07,"406 Bell Ave, Sacramento, CA 94203",F,33,2
192568,Bike Helmet,1,27.95,06/12/20 03:24,"554 Dogwood St, Miami, FL 33133",M,55,3
192569,Wireless Phone Charger,1,42.42,06/27/20 10:29,"236 Bell Ave, New York City, NY 10001",M,35,2
192570,Wireless Phone Charger,1,42.42,06/05/20 20:28,"554 Cypress Ave, Minneapolis, MN 55111",F,56,3
192571,Bike Helmet,1,27.95,06/14/20 19:49,"855 2nd Way, Miami, FL 33133",F,80,4
