id,product,quantity,price,date,address,sex,age,age_group
144319,Hair Curler,1,93.31,03/23/20 15:00,"662 Virginia St, Chicago, IL 60007",F,28,2
144319,Snazzy Hair Clips (3 Pack),1,5.3,03/23/20 15:00,"662 Virginia St, Chicago, IL 60007",F,28,2
144320,Mechanical Scale,1,38.88,03/27/20 20:28,"7 Virginia Ave, Miami, FL 33133",F,90,4
144321,AA Batteries (12 Pack),1,11.95,03/30/20 11:00,"208 West St, Chicago, IL 60007",F,39,2
144322,Sun Hat,1,24.96,03/30/20 06:52,"389 13th Rd, Chicago, IL 60007",F,27,2
144323,Bike Helmet,1,27.95,03/20/20 14:28,"437 7th St, Denver, CO 80259",M,46,3
144324,Sun Hat,1,24.96,03/06/20 17:41,"933 1st Ave, Sacramento, CA 94203",F,78,4
144325,Wireless Phone Charger,1,42.42,03/09/20 19:26,"631 9th St, Providence, RI 02902",M,35,2
144326,Wireless Phone Charger,1,42.42,03/21/20 09:25,"663 8th Ave, Chicago, IL 60007",M,66,4
144327,Snazzy Hair Clips (3 Pack),1,5.3,03/24/20 15:51,"804 3rd St, Sacramento, CA 94203",F,25,1
144328,Bike Helmet,1,27.95,03/23/20 01:03,"111 MLK Rd, Las Vegas, NV 88901",M,43,3
144329,Sun Hat,1,24.96,03/21/20 14:46,"876 West Rd, New York City, NY 10001",F,64,4
144329,Snazzy Hair Clips (3 Pack),1,5.3,03/21/20 14:46,"876 West Rd, New York City, NY 10001",F,64,4
144330,Shower Grab Bar,1,34.98,03/12/20 15:58,"137 1st Rd, Las Vegas, NV 88901",F,65,4
144331,Shooter Video Game,1,59.99,03/27/20 22:55,"186 Cypress Way, New York City, NY 10001",M,42,3
144332,Space Cadet Snow Blower,1,1399.0,03/13/20 20:35,"668 6th St, Minneapolis, MN 55111",M,30,2
144333,Sun Hat,1,24.96,03/24/20 21:42,"456 11th St, Chicago, IL 60007",F,40,2
144334,AA Batteries (12 Pack),1,11.95,03/11/20 21:54,"288 Main Way, New York City, NY 10001",M,36,2
144335,Wireless Phone Charger,1,42.42,03/05/20 07:40,"709 Knoll St, Chicago, IL 60007",M,44,3
144336,Cherry & Oliver Pitter,1,15.49,03/24/20 20:52,"289 Washington St, Miami, FL 33133",F,30,2
144337,Tub of 50 Marbles,1,17.75,03/26/20 09:49,"958 Bell Ave, New York City, NY 10001",F,32,2
144338,Sun Hat,1,24.96,03/26/20 16:23,"505 Ridge Rd, Providence, RI 02902",F,86,4
144339,AA Batteries (12 Pack),1,11.95,03/08/20 14:17,"949 Bell Rd, Chicago, IL 60007",M,25,1
144340,Velcro Shoes,1,43.16,03/26/20 07:27,"148 7th Ave, Miami, FL 33133",M,34,2
144341,Hair Curler,1,93.31,03/12/20 14:22,"395 1st Ave, New York City, NY 10001",F,38,2
144342,Bungee Cords (10 Pack),1,11.45,03/06/20 00:39,"240 Washington Rd, Baton Rouge, LA 70808",F,40,2
144343,Mechanical Scale,1,38.88,03/10/20 18:17,"841 8th Blvd, Miami, FL 33133",M,49,3
144344,Shooter Video Game,1,59.99,03/23/20 06:57,"679 Cypress Court, Las Vegas, NV 88901",M,31,2
144345,Vuvuzela,1,4.99,03/01/20 21:11,"76 11th St, Denver, CO 80259",M,24,1
144346,Shower Grab Bar,1,34.98,03/14/20 00:21,"885 Knoll Rd, Minneapolis, MN 55111",M,89,4
144347,Bike Helmet,1,27.95,03/04/20 14:13,"753 1st Way, Sacramento, CA 94203",F,75,4
144348,Sun Hat,1,24.96,03/10/20 09:12,"750 5th Dr, Las Vegas, NV 88901",F,64,4
144349,Shooter Video Game,1,59.99,03/11/20 20:29,"890 Virginia Lane, Las Vegas, NV 88901",M,21,1
144350,Bungee Cords (10 Pack),1,11.45,03/24/20 00:50,"607 West Ave, Las Vegas, NV 88901",F,43,3
144351,Tub of 50 Marbles,1,17.75,03/22/20 13:43,"816 1st Rd, Miami, FL 33133",M,33,2
144352,Velcro Shoes,1,43.16,03/08/20 16:08,"551 7th Ave, Providence, RI 02902",F,75,4
144352,Sun Hat,1,24.96,03/08/20 16:08,"551 7th Ave, Providence, RI 02902",F,75,4
144353,Velcro Shoes,1,43.16,03/17/20 10:45,"611 11th Blvd, Minneapolis, MN 55111",M,41,3
144353,Shower Grab Bar,1,34.98,03/17/20 10:45,"611 11th Blvd, Minneapolis, MN 55111",M,41,3
