id,product,quantity,price,date,address,sex,age,age_group
176115,Mechanical Scale,1,38.88,05/25/20 14:25,"331 Knoll Blvd, Miami, FL 33133",F,48,3
176116,Snazzy Hair Clips (3 Pack),1,5.3,05/01/20 13:27,"155 4th Dr, Sacramento, CA 94203",F,56,3
176117,Velcro Shoes,1,43.16,05/30/20 09:03,"32 5th Dr, New York City, NY 10001",M,87,4
176118,Sun Hat,1,24.96,05/27/20 22:02,"269 11th Ave, Las Vegas, NV 88901",F,39,2
176119,Sun Hat,1,24.96,05/05/20 11:24,"778 4th St, Chicago, IL 60007",M,39,2
176120,Hair Curler,1,93.31,05/07/20 10:48,"925 8th Rd, Chicago, IL 60007",F,21,1
176121,Snazzy Hair Clips (3 Pack),1,5.3,05/15/20 13:00,"784 7th St, Miami, FL 33133",M,23,1
176122,Velcro Shoes,1,43.16,05/17/20 18:22,"47 2nd Way, Minneapolis, MN 55111",M,49,3
176122,Sun Hat,1,24.96,05/17/20 18:22,"47 2nd Way, Minneapolis, MN 55111",M,49,3
176123,Shooter Video Game,1,59.99,05/17/20 21:21,"557 West Ave, Chicago, IL 60007",M,18,1
176124,AA Batteries (12 Pack),1,11.95,05/10/20 19:56,"823 Sunset St, Las Vegas, NV 88901",M,40,2
176125,Bike Helmet,1,27.95,05/14/20 10:32,"928 12th Way, Minneapolis, MN 55111",F,26,2
176126,Snazzy Hair Clips (3 Pack),2,5.3,05/03/20 12:42,"685 Knoll Blvd, Minneapolis, MN 55111",F,80,4
176127,Velcro Shoes,1,43.16,05/18/20 20:42,"898 4th Dr, Las Vegas, NV 88901",M,42,3
176128,Hair Curler,1,93.31,05/01/20 18:10,"660 Washington Ave, New York City, NY 10001",M,47,3
176129,Cherry & Oliver Pitter,1,15.49,05/07/20 09:14,"390 South Ave, Sacramento, CA 94203",M,33,2
176130,Sun Hat,1,24.96,05/21/20 14:59,"337 South Way, Chicago, IL 60007",F,48,3
176131,Shooter Video Game,1,59.99,05/11/20 11:34,"338 13th Ave, Denver, CO 80259",M,18,1
176132,Bungee Cords (10 Pack),1,11.45,05/04/20 10:45,"931 Dogwood Rd, New York City, NY 10001",F,35,2
176133,Bungee Cords (10 Pack),1,11.45,05/01/20 15:55,"88 5th Rd, Miami, FL 33133",F,40,2
176134,Shooter Video Game,1,59.99,05/21/20 12:29,"316 Virginia St, Chicago, IL 60007",F,24,1
176135,Sun Hat,1,24.96,05/27/20 14:09,"915 MLK Ave, Las Vegas, NV 88901",F,21,1
176136,Shooter Video Game,1,59.99,05/08/20 17:18,"836 Cypress St, Miami, FL 33133",M,26,2
176137,AA Batteries (12 Pack),1,11.95,05/19/20 10:12,"914 2nd Blvd, Sacramento, CA 94203",F,56,3
176138,Hair Curler,1,93.31,05/22/20 10:00,"211 Knoll St, Chicago, IL 60007",F,52,3
176139,AA Batteries (12 Pack),1,11.95,05/12/20 12:40,"817 Main Way, Baton Rouge, LA 70808",F,71,4
176140,Wireless Phone Charger,1,42.42,05/08/20 03:58,"833 8th Rd, Minneapolis, MN 55111",F,25,1
176141,Bungee Cords (10 Pack),1,11.45,05/25/20 12:02,"204 Redwood Ave, Denver, CO 80259",M,28,2
176142,Velcro Shoes,1,43.16,05/25/20 18:58,"682 Chestnut Dr, Las Vegas, NV 88901",M,75,4
176142,Sun Hat,1,24.96,05/25/20 18:58,"682 Chestnut Dr, Las Vegas, NV 88901",M,75,4
176143,Snazzy Hair Clips (3 Pack),1,5.3,05/21/20 07:24,"194 Cypress Ave, Denver, CO 80259",F,18,1
176144,Velcro Shoes,1,43.16,05/22/20 15:18,"194 Sunset St, Minneapolis, MN 55111",M,54,3
176145,AA Batteries (12 Pack),1,11.95,05/01/20 15:08,"955 7th Rd, Sacramento, CA 94203",M,67,4
176146,Knee High Boots,1,129.2,05/22/20 15:28,"614 8th Ave, Chicago, IL 60007",F,32,2
176147,Bungee Cords (10 Pack),1,11.45,05/08/20 20:13,"384 Virginia Rd, Miami, FL 33133",F,34,2
176148,Shooter Video Game,1,59.99,05/30/20 06:06,"824 North St, Minneapolis, MN 55111",M,23,1
176149,Shooter Video Game,1,59.99,05/10/20 21:00,"480 Washington Blvd, Chicago, IL 60007",M,23,1
176150,Velcro Shoes,1,43.16,05/01/20 11:37,"61 North Lane, Denver, CO 80259",M,80,4
176151,Wireless Phone Charger,1,42.42,05/26/20 10:06,"535 Ridge Blvd, Las Vegas, NV 88901",M,45,3
176152,Shooter Video Game,1,59.99,05/26/20 22:52,"627 Virginia St, Minneapolis, MN 55111",F,26,2
176153,Knee High Boots,1,129.2,05/07/20 15:00,"567 Chestnut Blvd, Minneapolis, MN 55111",F,28,2
176154,Craft Scissors (8 Pack),1,36.0,05/21/20 11:05,"406 1st Ave, New York City, NY 10001",M,38,2
176155,Knee High Boots,1,129.2,05/14/20 09:32,"241 5th Way, New York City, NY 10001",F,83,4
176156,Craft Scissors (8 Pack),1,36.0,05/15/20 17:05,"534 9th St, Minneapolis, MN 55111",F,58,3
176157,Craft Scissors (8 Pack),1,36.0,05/12/20 19:21,"233 5th St, Sacramento, CA 94203",M,34,2
176158,Snazzy Hair Clips (3 Pack),2,5.3,05/13/20 20:27,"750 3rd Rd, Denver, CO 80259",F,38,2
176159,Bike Helmet,1,27.95,05/24/20 20:49,"583 4th St, New York City, NY 10001",M,42,3
176160,Bungee Cords (10 Pack),1,11.45,05/23/20 17:24,"234 10th Ave, New York City, NY 10001",F,35,2
176161,Wireless Phone Charger,1,42.42,05/25/20 12:42,"219 Redwood St, Providence, RI 02902",F,28,2
176162,Bungee Cords (10 Pack),1,11.45,05/24/20 09:51,"57 Main Way, Miami, FL 33133",M,59,3
176162,Tub of 50 Marbles,1,17.75,05/24/20 09:51,"57 Main Way, Miami, FL 33133",M,59,3
176163,Sun Hat,1,24.96,05/15/20 07:30,"272 11th Ave, Denver, CO 80259",M,68,4
176164,Knee High Boots,1,129.2,05/12/20 12:07,"8 5th St, Sacramento, CA 94203",F,46,3
176165,Snazzy Hair Clips (3 Pack),2,5.3,05/11/20 22:36,"771 South St, Sacramento, CA 94203",F,38,2
176166,Bungee Cords (10 Pack),1,11.45,05/11/20 11:35,"928 Main Rd, Sacramento, CA 94203",M,60,3
176167,Milky Mama Nursing Cover,1,20.0,05/19/20 11:53,"419 6th Blvd, Las Vegas, NV 88901",M,20,1
176168,AA Batteries (12 Pack),1,11.95,05/28/20 19:56,"645 4th Way, Miami, FL 33133",F,37,2
176169,Velcro Shoes,1,43.16,05/13/20 15:34,"636 MLK St, Miami, FL 33133",M,64,4
176169,Tub of 50 Marbles,1,17.75,05/13/20 15:34,"636 MLK St, Miami, FL 33133",M,64,4
176170,Shooter Video Game,1,59.99,05/26/20 21:54,"173 Washington Blvd, Sacramento, CA 94203",M,81,4
