id,product,quantity,price,date,address,sex,age,age_group
239228,Bungee Cords (10 Pack),1,11.45,11/21/20 20:10,"889 Redwood St, Minneapolis, MN 55111",M,75,4
239229,Bungee Cords (10 Pack),1,11.45,11/15/20 15:25,"355 Dogwood Dr, Baton Rouge, LA 70808",F,79,4
239230,Snazzy Hair Clips (3 Pack),1,5.3,11/19/20 10:20,"868 4th Ave, New York City, NY 10001",F,21,1
239231,Craft Scissors (8 Pack),1,36.0,11/02/20 21:38,"112 11th Ave, Minneapolis, MN 55111",F,18,1
239232,Wireless Phone Charger,1,42.42,11/08/20 10:07,"408 4th St, Baton Rouge, LA 70808",M,19,1
239233,Shooter Video Game,1,59.99,11/15/20 08:46,"80 Main Dr, Minneapolis, MN 55111",M,20,1
239234,Sun Hat,1,24.96,11/02/20 16:30,"576 Bell Rd, Las Vegas, NV 88901",M,46,3
239235,Velcro Shoes,1,43.16,11/04/20 05:43,"385 Redwood St, Baton Rouge, LA 70808",M,65,4
239236,Shooter Video Game,1,59.99,11/03/20 11:09,"972 Chestnut St, Omaha, NE 68007",M,20,1
239237,Bike Helmet,1,27.95,11/10/20 12:58,"129 Knoll Lane, Omaha, NE 68007",F,20,1
239238,AA Batteries (12 Pack),1,11.95,11/21/20 16:49,"93 Dogwood Ave, Sacramento, CA 94203",F,43,3
239239,Velcro Shoes,1,43.16,11/28/20 21:24,"705 Bell Rd, Miami, FL 33133",M,73,4
239240,Hair Curler,1,93.31,11/01/20 11:33,"16 Lincoln Ave, Miami, FL 33133",F,54,3
239241,Vuvuzela,1,4.99,11/21/20 08:03,"333 Washington Ave, Baton Rouge, LA 70808",F,46,3
239242,Tub of 50 Marbles,1,17.75,11/09/20 10:19,"427 South Court, Las Vegas, NV 88901",M,79,4
239243,Hair Curler,1,93.31,11/14/20 11:39,"4 4th Ave, Minneapolis, MN 55111",F,38,2
239243,Snazzy Hair Clips (3 Pack),1,5.3,11/14/20 11:39,"4 4th Ave, Minneapolis, MN 55111",F,38,2
239244,AA Batteries (12 Pack),1,11.95,11/28/20 14:54,"146 Virginia Blvd, Sacramento, CA 94203",M,23,1
239245,AA Batteries (12 Pack),1,11.95,11/02/20 13:35,"125 Cypress Rd, Chicago, IL 60007",F,71,4
239246,Snazzy Hair Clips (3 Pack),1,5.3,11/27/20 14:39,"40 8th Rd, Baton Rouge, LA 70808",M,61,4
239246,Knee High Boots,1,129.2,11/27/20 14:39,"40 8th Rd, Baton Rouge, LA 70808",M,61,4
239247,Shooter Video Game,1,59.99,11/13/20 19:39,"384 Lincoln Lane, Chicago, IL 60007",M,25,1
239248,Wireless Phone Charger,1,42.42,11/24/20 19:59,"528 11th Rd, Miami, FL 33133",F,22,1
239249,AA Batteries (12 Pack),1,11.95,11/12/20 22:48,"499 9th Ave, Denver, CO 80259",M,35,2
239250,Sun Hat,1,24.96,11/01/20 18:57,"380 Virginia Rd, Chicago, IL 60007",F,24,1
239251,Shooter Video Game,1,59.99,11/28/20 16:17,"58 Bell St, Minneapolis, MN 55111",M,51,3
239252,Snazzy Hair Clips (3 Pack),2,5.3,11/09/20 00:56,"48 Bell St, Chicago, IL 60007",M,58,3
239253,Bungee Cords (10 Pack),1,11.45,11/11/20 12:41,"3 3rd Blvd, Miami, FL 33133",F,55,3
239254,Tub of 50 Marbles,1,17.75,11/26/20 21:09,"342 2nd St, Sacramento, CA 94203",M,83,4
239255,Bungee Cords (10 Pack),1,11.45,11/09/20 17:09,"290 11th Rd, Baton Rouge, LA 70808",M,36,2
239256,Velcro Shoes,1,43.16,11/20/20 19:58,"658 Dogwood Rd, Minneapolis, MN 55111",M,79,4
239257,Wireless Phone Charger,1,42.42,11/17/20 07:38,"326 Cypress Ave, Miami, FL 33133",M,38,2
239258,Shooter Video Game,1,59.99,11/21/20 16:24,"232 4th Lane, Miami, FL 33133",M,45,3
239259,Bungee Cords (10 Pack),1,11.45,11/18/20 00:18,"87 6th Rd, Sacramento, CA 94203",M,86,4
239260,Shooter Video Game,1,59.99,11/07/20 13:36,"480 Washington St, Miami, FL 33133",M,40,2
239261,Shooter Video Game,1,59.99,11/09/20 10:30,"766 Main Blvd, Chicago, IL 60007",M,44,3
239262,Shooter Video Game,1,59.99,11/14/20 10:38,"562 5th Rd, Chicago, IL 60007",F,33,2
239263,Snazzy Hair Clips (3 Pack),1,5.3,11/01/20 18:56,"97 10th Ave, Chicago, IL 60007",F,23,1
239264,Wireless Phone Charger,1,42.42,11/11/20 17:31,"752 Chestnut St, Las Vegas, NV 88901",F,54,3
