id,product,quantity,price,date,address,sex,age,age_group
227693,Snazzy Hair Clips (3 Pack),1,5.3,10/29/20 12:40,"269 8th Lane, Chicago, IL 60007",F,23,1
227694,Wireless Phone Charger,1,42.42,10/21/20 12:17,"762 West Way, Chicago, IL 60007",F,44,3
227695,Mechanical Scale,1,38.88,10/03/20 10:55,"104 Knoll Ave, Las Vegas, NV 88901",F,28,2
227696,Sun Hat,1,24.96,10/19/20 17:28,"660 6th Dr, Chicago, IL 60007",F,20,1
227697,Hair Curler,1,93.31,10/14/20 12:59,"982 4th Blvd, Las Vegas, NV 88901",F,73,4
227698,Sun Hat,1,24.96,10/10/20 20:24,"930 8th Lane, Minneapolis, MN 55111",M,84,4
227699,Shooter Video Game,1,59.99,10/04/20 14:58,"41 Bell St, Chicago, IL 60007",M,19,1
227700,Bungee Cords (10 Pack),1,11.45,10/24/20 15:18,"780 8th Rd, Minneapolis, MN 55111",M,79,4
227701,Sun Hat,1,24.96,10/23/20 10:36,"695 3rd Rd, Minneapolis, MN 55111",M,68,4
227702,Wireless Phone Charger,1,42.42,10/23/20 22:11,"850 4th Ave, Denver, CO 80259",M,39,2
227703,Tub of 50 Marbles,1,17.75,10/15/20 20:11,"906 Dogwood Blvd, Las Vegas, NV 88901",F,86,4
227704,Shooter Video Game,1,59.99,10/17/20 19:02,"184 Main Rd, Miami, FL 33133",M,25,1
227705,Shooter Video Game,1,59.99,10/09/20 05:56,"248 5th Rd, New York City, NY 10001",M,25,1
227706,Bungee Cords (10 Pack),1,11.45,10/16/20 13:05,"99 6th Way, Sacramento, CA 94203",F,76,4
227707,Hair Curler,1,93.31,10/02/20 19:41,"540 2nd St, New York City, NY 10001",M,23,1
227708,Wireless Phone Charger,1,42.42,10/27/20 22:21,"204 Dogwood Ave, Miami, FL 33133",M,37,2
227709,Wireless Phone Charger,1,42.42,10/18/20 14:28,"859 Ridge St, Las Vegas, NV 88901",M,20,1
227710,Wireless Phone Charger,1,42.42,10/15/20 23:45,"965 7th St, Las Vegas, NV 88901",M,22,1
227711,Shooter Video Game,1,59.99,10/06/20 22:58,"863 MLK Ave, Miami, FL 33133",F,20,1
227712,Wireless Phone Charger,1,42.42,10/15/20 18:54,"533 South Rd, New York City, NY 10001",F,76,4
227713,Bungee Cords (10 Pack),1,11.45,10/25/20 12:13,"343 MLK Ave, Miami, FL 33133",M,33,2
227713,AA Batteries (12 Pack),1,11.95,10/25/20 12:13,"343 MLK Ave, Miami, FL 33133",M,33,2
227714,Craft Scissors (8 Pack),1,36.0,10/15/20 07:55,"911 Chestnut Rd, Minneapolis, MN 55111",M,74,4
227715,Shooter Video Game,1,59.99,10/06/20 16:20,"825 7th Ave, Miami, FL 33133",F,22,1
227716,Shooter Video Game,1,59.99,10/13/20 12:04,"47 6th Court, Chicago, IL 60007",F,50,3
227717,Sun Hat,1,24.96,10/17/20 11:25,"257 Redwood Court, Chicago, IL 60007",F,75,4
227718,Wireless Phone Charger,1,42.42,10/06/20 09:45,"59 6th Ave, New York City, NY 10001",F,22,1
227719,Snazzy Hair Clips (3 Pack),2,5.3,10/07/20 06:24,"963 1st St, Miami, FL 33133",F,33,2
227720,Mechanical Scale,1,38.88,10/27/20 12:24,"489 7th Blvd, Las Vegas, NV 88901",M,78,4
227721,Shower Grab Bar,1,34.98,10/07/20 15:07,"828 Lincoln Court, Sacramento, CA 94203",M,62,4
227722,AA Batteries (12 Pack),1,11.95,10/23/20 12:01,"11 Lincoln Ave, Miami, FL 33133",F,26,2
227723,Earthworm Fishing Lure (32 Pack),1,7.28,10/24/20 10:24,"994 Cypress St, New York City, NY 10001",M,53,3
227724,Shower Grab Bar,1,34.98,10/29/20 21:23,"55 Sunset Rd, New York City, NY 10001",M,72,4
227725,Hair Curler,1,93.31,10/16/20 12:21,"160 West Lane, Las Vegas, NV 88901",M,49,3
227726,Bungee Cords (10 Pack),1,11.45,10/27/20 20:24,"886 West St, Sacramento, CA 94203",M,31,2
227726,Tub of 50 Marbles,1,17.75,10/27/20 20:24,"886 West St, Sacramento, CA 94203",M,31,2
227727,AA Batteries (12 Pack),1,11.95,10/21/20 20:23,"722 7th St, Providence, RI 02902",F,66,4
227728,Craft Scissors (8 Pack),1,36.0,10/09/20 17:50,"774 11th Rd, Chicago, IL 60007",M,60,3
227729,Sun Hat,1,24.96,10/18/20 19:27,"259 North St, Chicago, IL 60007",M,32,2
227730,Bungee Cords (10 Pack),1,11.45,10/01/20 19:58,"7 Bell Ave, Las Vegas, NV 88901",M,58,3
227731,Wireless Phone Charger,1,42.42,10/13/20 23:05,"990 5th Court, Miami, FL 33133",F,49,3
227732,Wireless Phone Charger,2,42.42,10/02/20 19:10,"152 Lincoln Rd, Denver, CO 80259",M,33,2
227733,Sun Hat,1,24.96,10/27/20 19:43,"663 6th St, New York City, NY 10001",F,18,1
227734,Mechanical Scale,1,38.88,10/15/20 12:59,"219 Chestnut St, Chicago, IL 60007",M,84,4
227735,AA Batteries (12 Pack),1,11.95,10/31/20 22:15,"629 MLK Rd, Las Vegas, NV 88901",F,26,2
227736,Earthworm Fishing Lure (32 Pack),1,7.28,10/22/20 08:41,"400 Bell St, Chicago, IL 60007",M,69,4
227737,Snazzy Hair Clips (3 Pack),1,5.3,10/20/20 21:09,"838 6th Rd, Denver, CO 80259",F,36,2
227738,AA Batteries (12 Pack),1,11.95,10/08/20 21:39,"210 5th Rd, Baton Rouge, LA 70808",M,22,1
227739,Velcro Shoes,1,43.16,10/23/20 22:47,"992 Main Blvd, Miami, FL 33133",F,81,4
227740,Bike Helmet,1,27.95,10/01/20 15:11,"363 1st St, Providence, RI 02902",F,56,3
227741,Snazzy Hair Clips (3 Pack),1,5.3,10/05/20 18:54,"196 Cypress Ave, New York City, NY 10001",F,76,4
227742,AA Batteries (12 Pack),1,11.95,10/13/20 15:15,"268 Knoll Blvd, Minneapolis, MN 55111",F,49,3
227743,Cherry & Oliver Pitter,1,15.49,10/15/20 09:21,"797 2nd Lane, Miami, FL 33133",F,82,4
