id,product,quantity,price,date,address,sex,age,age_group
216627,Bike Helmet,1,27.95,09/19/20 21:10,"967 4th Rd, Miami, FL 33133",M,65,4
216628,AA Batteries (12 Pack),1,11.95,09/02/20 18:55,"387 Cypress St, Minneapolis, MN 55111",F,83,4
216629,Bungee Cords (10 Pack),1,11.45,09/22/20 17:57,"740 1st Ave, Sacramento, CA 94203",M,26,2
216630,Sun Hat,1,24.96,09/01/20 08:27,"799 4th Rd, Denver, CO 80259",M,87,4
216631,AA Batteries (12 Pack),1,11.95,09/15/20 16:39,"40 West Rd, Miami, FL 33133",F,19,1
216632,Wireless Phone Charger,2,42.42,09/30/20 02:17,"950 Sunset Ave, Minneapolis, MN 55111",F,19,1
216633,Craft Scissors (8 Pack),1,36.0,09/10/20 06:02,"164 8th Way, Chicago, IL 60007",M,20,1
216634,Shooter Video Game,1,59.99,09/11/20 12:51,"191 6th St, Baton Rouge, LA 70808",M,46,3
216635,Cherry & Oliver Pitter,1,15.49,09/02/20 19:31,"307 Chestnut St, Chicago, IL 60007",F,38,2
216636,Velcro Shoes,1,43.16,09/16/20 14:02,"595 7th Blvd, Sacramento, CA 94203",M,80,4
216636,Tub of 50 Marbles,1,17.75,09/16/20 14:02,"595 7th Blvd, Sacramento, CA 94203",M,80,4
216637,AA Batteries (12 Pack),1,11.95,09/28/20 13:55,"303 3rd St, Sacramento, CA 94203",M,67,4
216638,Wireless Phone Charger,1,42.42,09/17/20 13:56,"137 Bell Dr, Sacramento, CA 94203",F,39,2
216639,Vuvuzela,1,4.99,09/11/20 14:06,"364 Main Way, Denver, CO 80259",F,22,1
216640,AA Batteries (12 Pack),1,11.95,09/29/20 16:40,"117 North Ave, Minneapolis, MN 55111",M,35,2
216641,Vuvuzela,1,4.99,09/06/20 18:00,"418 Bell Way, Denver, CO 80259",M,32,2
216642,Wireless Phone Charger,1,42.42,09/11/20 11:29,"492 Cypress Rd, Miami, FL 33133",M,27,2
216643,Bungee Cords (10 Pack),1,11.45,09/10/20 17:56,"93 9th Ave, Minneapolis, MN 55111",M,55,3
216643,Tub of 50 Marbles,1,17.75,09/10/20 17:56,"93 9th Ave, Minneapolis, MN 55111",M,55,3
216644,Shooter Video Game,1,59.99,09/30/20 17:43,"696 West St, Omaha, NE 68007",M,44,3
216645,Shooter Video Game,1,59.99,09/16/20 19:13,"676 8th Rd, Las Vegas, NV 88901",F,20,1
216646,Craft Scissors (8 Pack),1,36.0,09/24/20 17:40,"233 North Ave, Las Vegas, NV 88901",F,58,3
216647,Sun Hat,1,24.96,09/25/20 12:55,"478 South Blvd, Denver, CO 80259",F,68,4
216648,Snazzy Hair Clips (3 Pack),2,5.3,09/02/20 20:48,"764 Sunset St, Miami, FL 33133",F,41,3
216649,Wireless Phone Charger,1,42.42,09/25/20 20:39,"14 11th St, Chicago, IL 60007",F,47,3
216650,Bike Helmet,1,27.95,09/28/20 12:38,"112 Washington Rd, Sacramento, CA 94203",F,36,2
216651,Snazzy Hair Clips (3 Pack),1,5.3,09/18/20 21:07,"23 11th Blvd, Minneapolis, MN 55111",F,79,4
216652,Vuvuzela,1,4.99,09/17/20 20:10,"67 Knoll Ave, Chicago, IL 60007",M,24,1
216653,Wireless Phone Charger,1,42.42,09/04/20 20:27,"848 1st Ave, Omaha, NE 68007",M,52,3
